ranking,movieTitle,movieYear,rating,movieLength,runtime,genre,releaseDate,summary
143,Casino,1995,8.2,2h 58min,178,"Crime,Drama",22-Nov-95,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite."
144,The Treasure of the Sierra Madre,1948,8.2,2h 6min,126,"Adventure,Drama,Western",24-Jan-48,Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
145,Pan's Labyrinth,2006,8.2,1h 58min,118,"Drama,Fantasy,War",19-Jan-07,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
146,There Will Be Blood,2007,8.2,2h 38min,158,Drama,25-Jan-08,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
147,A Beautiful Mind,2001,8.2,2h 15min,135,"Biography,Drama",04-Jan-02,"AfterJohn Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish."
148,The Secret in Their Eyes,2009,8.2,2h 9min,129,"Drama,Mystery,Romance",21-May-10,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
149,Raging Bull,1980,8.2,2h 9min,129,"Biography,Drama,Sport",19-Dec-80,"The life of boxerJake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it."
150,My Neighbor Totoro,1988,8.2,1h 26min,86,"Animation,Family,Fantasy",13-Jul-90,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
151,Chinatown,1974,8.2,2h 10min,130,"Drama,Mystery,Thriller",20-Jun-74,"A private detective hired to expose an adulterer finds himself caught up in a web of deceit, corruption, and murder."
152,"Lock, Stock and Two Smoking Barrels",1998,8.2,1h 47min,107,"Action,Comedy,Crime",28-Aug-98,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds."
153,The Gold Rush,1925,8.2,1h 35min,95,"Adventure,Comedy,Drama",13-Jul-25,A prospector goes to the Klondike in search of gold and finds it and more.
154,"Three Billboards Outside Ebbing, Missouri",2017,8.1,1h 55min,115,"Comedy,Crime,Drama",01-Dec-17,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.
155,Dial M for Murder,1954,8.2,1h 45min,105,"Crime,Thriller",29-May-54,A former tennis player tries to arrange his wife's murder after learning of her affair.
156,No Country for Old Men,2007,8.1,2h 2min,122,"Crime,Drama,Thriller",21-Nov-07,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.
157,Shutter Island,2010,8.2,2h 18min,138,"Mystery,Thriller",19-Feb-10,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane."
158,The Seventh Seal,1957,8.2,1h 36min,96,"Drama,Fantasy,History",13-Oct-58,"A man seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague."
159,The Elephant Man,1980,8.1,2h 4min,124,"Biography,Drama",10-Oct-80,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
160,The Thing,1982,8.1,1h 49min,109,"Horror,Mystery,Sci-Fi",25-Jun-82,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.
161,The Sixth Sense,1999,8.1,1h 47min,107,"Drama,Mystery,Thriller",06-Aug-99,A boy who communicates with spirits seeks the help of a disheartened child psychologist.
162,Klaus,2019,8.2,1h 36min,96,"Animation,Adventure,Comedy",15-Nov-19,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
163,Inside Out,2015,8.1,1h 35min,95,"Animation,Adventure,Comedy",19-Jun-15,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
164,V for Vendetta,2005,8.1,2h 12min,132,"Action,Drama,Sci-Fi",17-Mar-06,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman."
165,The Third Man,1949,8.1,1h 33min,104,"Film-Noir,Mystery,Thriller",12-Oct-49,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
166,Blade Runner,1982,8.1,1h 57min,117,"Action,Sci-Fi,Thriller",25-Jun-82,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator."
167,Wild Strawberries,1957,8.2,1h 31min,91,"Drama,Romance",22-Jun-59,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence."
168,The Bridge on the River Kwai,1957,8.1,2h 41min,161,"Adventure,Drama,War",14-Dec-57,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it."
169,Trainspotting,1996,8.1,1h 33min,93,Drama,09-Aug-96,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends."
170,My Father and My Son,2005,8.3,1h 52min,112,"Drama,Family",18-Nov-05,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
171,The Truman Show,1998,8.1,1h 43min,103,"Comedy,Drama",05-Jun-98,An insurance salesman discovers his whole life is actually a reality TV show.
172,Jurassic Park,1993,8.1,2h 7min,127,"Action,Adventure,Sci-Fi",11-Jun-93,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
173,Warrior,2011,8.1,2h 20min,140,"Action,Drama,Sport",09-Sep-11,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
174,Fargo,1996,8.1,1h 38min,98,"Crime,Drama,Thriller",05-Apr-96,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.
175,Memories of Murder,2003,8.1,2h 12min,131,"Crime,Drama,Mystery",02-May-03,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit."
176,Finding Nemo,2003,8.1,1h 40min,100,"Animation,Adventure,Comedy",30-May-03,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
177,Gone with the Wind,1939,8.1,3h 58min,238,"Drama,History,Romance",17-Jan-40,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.
178,Kill Bill: Vol. 1,2003,8.1,1h 51min,111,"Action,Crime,Drama",10-Oct-03,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her."
179,Tokyo Story,1953,8.2,2h 16min,136,Drama,13-Mar-72,"An old couple visit their children and grandchildren in the city, but receive little attention."
180,On the Waterfront,1954,8.1,1h 48min,108,"Crime,Drama,Thriller",22-Jun-54,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.
181,Stalker,1979,8.1,2h 42min,162,"Drama,Sci-Fi",17-Apr-80,A guide leads two men through an area known as the Zone to find a room that grants wishes.
182,The General,1926,8.1,1h 7min,67,"Action,Adventure,Comedy",02-Jan-27,"When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines."
183,The Deer Hunter,1978,8.1,3h 3min,183,"Drama,War",23-Feb-79,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.
184,Wild Tales,2014,8.1,2h 2min,122,"Comedy,Drama,Thriller",21-Aug-14,Six short stories that explore the extremities of human behavior involving people in distress.
185,Gran Torino,2008,8.1,1h 56min,116,Drama,09-Jan-09,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
186,Sherlock Jr.,1924,8.2,45min,45,"Action,Comedy,Romance",11-May-24,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
187,Room,2015,8.1,1h 58min,118,"Drama,Thriller",22-Jan-16,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
188,The Grand Budapest Hotel,2014,8.1,1h 39min,99,"Adventure,Comedy,Crime",28-Mar-14,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
189,Before Sunrise,1995,8.1,1h 41min,101,"Drama,Romance",27-Jan-95,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
190,Persona,1966,8.1,1h 23min,85,"Drama,Thriller",16-Mar-67,A nurse is put in charge of a mute actress and finds that their personae are melding together.
191,Mary and Max,2009,8.1,1h 32min,92,"Animation,Comedy,Drama",12-Mar-10,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
192,In the Name of the Father,1993,8.1,2h 13min,133,"Biography,Crime,Drama",25-Feb-94,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.
193,Prisoners,2013,8.1,2h 33min,153,"Crime,Drama,Mystery",20-Sep-13,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
194,Mr. Smith Goes to Washington,1939,8.1,2h 9min,129,"Comedy,Drama",19-Oct-39,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down."
195,Gone Girl,2014,8.1,2h 29min,149,"Drama,Mystery,Thriller",03-Oct-14,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent."
196,Catch Me If You Can,2002,8.1,2h 21min,141,"Biography,Crime,Drama",25-Dec-02,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit."
197,To Be or Not to Be,1942,8.2,1h 39min,99,"Comedy,Romance,War",06-Mar-42,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
198,Hacksaw Ridge,2016,8.1,2h 19min,139,"Biography,Drama,History",04-Nov-16,"World War II American Army MedicDesmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot."
199,Andhadhun,2018,8.2,2h 19min,139,"Crime,Drama,Music",05-Oct-18,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
200,Barry Lyndon,1975,8.1,3h 5min,185,"Adventure,Drama,History",18-Dec-75,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.
201,The Big Lebowski,1998,8.1,1h 57min,117,"Comedy,Crime,Sport",06-Mar-98,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
202,Ford v Ferrari,2019,8.1,2h 32min,152,"Action,Biography,Drama",15-Nov-19,American car designerCarroll Shelbyand driverKen Milesbattle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.
203,12 Years a Slave,2013,8.1,2h 14min,134,"Biography,Drama,History",08-Nov-13,"In the antebellum United States,Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
204,The Passion of Joan of Arc,1928,8.1,1h 54min,110,"Biography,Drama,History",25-Oct-28,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
205,How to Train Your Dragon,2010,8.1,1h 38min,98,"Animation,Action,Adventure",26-Mar-10,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
206,Mad Max: Fury Road,2015,8.1,2h,120,"Action,Adventure,Sci-Fi",15-May-15,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max."
207,The Wages of Fear,1953,8.1,2h 11min,131,"Adventure,Drama,Thriller",16-Feb-55,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
208,Ben-Hur,1959,8.1,3h 32min,212,"Adventure,Drama,History",18-Nov-59,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
209,Million Dollar Baby,2004,8.1,2h 12min,132,"Drama,Sport",28-Jan-05,A determined woman works with a hardened boxing trainer to become a professional.
210,Dead Poets Society,1989,8.1,2h 8min,128,"Comedy,Drama",09-Jun-89,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.
211,Network,1976,8.1,2h 1min,121,Drama,27-Nov-76,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.
212,Stand by Me,1986,8.1,1h 29min,89,"Adventure,Drama",22-Aug-86,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy."
213,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,2h 10min,130,"Adventure,Drama,Fantasy",15-Jul-11,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
214,Autumn Sonata,1978,8.2,1h 39min,99,"Drama,Music",18-Oct-78,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist."
215,Cool Hand Luke,1967,8.1,2h 7min,127,"Crime,Drama",01-Nov-67,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform."
216,The 400 Blows,1959,8.1,1h 39min,99,"Crime,Drama",16-Nov-59,"A young boy, left without attention, delves into a life of petty crime."
217,The Handmaiden,2016,8.1,2h 25min,145,"Drama,Romance,Thriller",01-Jun-16,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
218,The Bandit,1996,8.2,2h 8min,128,"Crime,Drama,Thriller",29-Nov-96,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover."
219,Logan,2017,8.1,2h 17min,137,"Action,Drama,Sci-Fi",03-Mar-17,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
220,Platoon,1986,8.1,2h,120,"Drama,War",06-Feb-87,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
221,Hachi: A Dog's Tale,2009,8.1,1h 33min,93,"Biography,Drama,Family",12-Mar-10,A college professor bonds with an abandoned dog he takes into his home.
222,La Haine,1995,8.1,1h 38min,98,"Crime,Drama",23-Feb-96,24 hours in the lives of three young men in the French suburbs the day after a violent riot.
223,Monty Python's Life of Brian,1979,8.1,1h 34min,94,Comedy,17-Aug-79,"Born on the original Christmas in the stable next door toJesus Christ, Brian of Nazareth spends his life being mistaken for a messiah."
224,Spotlight,2015,8.1,2h 9min,129,"Biography,Crime,Drama",20-Nov-15,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
225,Hotel Rwanda,2004,8.1,2h 1min,121,"Biography,Drama,History",04-Feb-05,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa."
226,Into the Wild,2007,8.1,2h 28min,148,"Adventure,Biography,Drama",19-Oct-07,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
227,Rush,2013,8.1,2h 3min,123,"Action,Biography,Drama",27-Sep-13,The merciless 1970s rivalry between Formula One rivalsJames HuntandNiki Lauda.
228,Rebecca,1940,8.1,2h 10min,130,"Drama,Mystery,Romance",12-Apr-40,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.
229,Andrei Rublev,1966,8.1,3h 25min,165,"Biography,Drama,History",Oct-73,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
230,"Monsters, Inc.",2001,8.1,1h 32min,92,"Animation,Adventure,Comedy",02-Nov-01,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
231,Amores Perros,2000,8.1,2h 34min,154,"Drama,Thriller",13-Apr-01,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
232,Drishyam 2,2021,8.7,2h 32min,,"Crime,Drama,Thriller",19-Feb-21,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
233,Rocky,1976,8.1,2h,120,"Drama,Sport",03-Dec-76,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.
234,Gangs of Wasseypur,2012,8.2,5h 21min,321,"Action,Comedy,Crime",22-Jun-12,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
235,Raatchasan,2018,8.5,2h 50min,170,"Action,Crime,Thriller",05-Oct-18,A sub-inspector sets out in pursuit of a mysterious serial killer who targets teen school girls and murders them brutally.
236,A Silent Voice: The Movie,2016,8.2,2h 10min,130,"Animation,Drama,Romance",17-Sep-16,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
237,In the Mood for Love,2000,8.1,1h 38min,98,"Drama,Romance",09-Mar-01,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs."
238,Nausicaä of the Valley of the Wind,1984,8.1,1h 57min,117,"Animation,Adventure,Fantasy",25-Nov-87,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
239,It Happened One Night,1934,8.1,1h 45min,105,"Comedy,Romance",22-Feb-34,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops."
240,The Battle of Algiers,1966,8.1,2h 1min,121,"Drama,War",20-Sep-67,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
241,Before Sunset,2004,8.1,1h 20min,80,"Drama,Romance",30-Jul-04,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour."
242,Rififi,1955,8.1,1h 58min,118,"Crime,Drama,Thriller",05-Jun-56,"Four men plan a technically perfect crime, but the human element intervenes..."
243,Soul,2020,8.1,1h 40min,100,"Animation,Adventure,Comedy",25-Dec-20,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
244,The Princess Bride,1987,8.1,1h 38min,98,"Adventure,Family,Fantasy",09-Oct-87,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
245,Fanny and Alexander,1982,8.1,3h 8min,188,Drama,17-Dec-82,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls."
246,Three Colors: Red,1994,8.1,1h 39min,99,"Drama,Mystery,Romance",23-Nov-94,A model discovers a retired judge is keen on invading people's privacy.
247,Sunrise,1927,8.1,1h 34min,94,"Drama,Romance",04-Nov-27,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme."
248,Drishyam,2013,8.3,2h 40min,,"Crime,Drama,Thriller",19-Dec-13,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.
249,Neon Genesis Evangelion: The End of Evangelion,1997,8.1,1h 27min,87,"Animation,Action,Drama",2005,Concurrent theatrical ending of the TV seriesShin seiki evangerion(1995).
250,Miracle in Cell No. 7,2019,8.2,2h 12min,132,Drama,11-Oct-19,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movieMiracle in Cell No. 7(2013).
